,Model,label,MAE,MSE,RMSE,MAPE,SMAPE,MSLE
27,XGBoost,disparate_parity,0.0950854410770497,0.016746097973789,0.1293689754240324,1423331738692.4695,0.694806760685123,0.0104308805021418
28,XGBoost,individual_fairness,0.0009776428731268,1.1953528140196951e-05,0.0022977394188922,0.0064474248244204,0.0063364402189737,6.578326854313708e-06
29,XGBoost,group_fairness,0.0358610571880382,0.0053832800878096,0.0733430737896453,0.1358212637071517,0.0935704976255098,0.001403068007995
30,LightGBM,Group Size Disparity,0.2944572885783347,0.1309802818319968,0.361882732936382,4770223114503.537,0.6514015473586088,0.0566145582317108
31,LightGBM,Prevalence Disparity,0.0558531165719662,0.0057091578882164,0.0755386982881182,115750555807.90675,0.773414563375104,0.004319218854349
32,LightGBM,equal_opportunity,0.1066592834663547,0.0248339038435722,0.15752810583684,1993757627100.2563,0.7261388474155848,0.014445641098841
33,LightGBM,disparate_parity,0.0938124341159311,0.0166405277326995,0.1289591514430641,1294419536765.742,0.6847996470759254,0.0103799011752112
34,LightGBM,individual_fairness,0.0021193814038088,2.242929554688268e-05,0.0043998912926381,0.014635435324369,0.0145179575184647,1.1029809829333649e-05
35,LightGBM,group_fairness,0.0366177029485041,0.0054152819621534,0.0735626626620929,0.1442496120008297,0.1022641340691109,0.001421588417303
36,RandomForest,Group Size Disparity,0.2943627125940883,0.1309021167325855,0.3617744366152137,4767218840607.196,0.6513433784108071,0.0565682063577287
37,RandomForest,Prevalence Disparity,0.0565378384759735,0.0057687236011364,0.0759328915626465,111150825644.4544,0.7796099062205667,0.0043576738356685
38,RandomForest,equal_opportunity,0.1087578630966117,0.0253696567512502,0.1592107923324112,2087703409470.989,0.7354879177233797,0.0147276837548553
39,RandomForest,disparate_parity,0.0946437833744391,0.0167696277216682,0.1294620100970491,1280659716360.912,0.6907181241395369,0.0104365899806563
40,RandomForest,individual_fairness,0.0062909863866762,0.0001839065348901,0.0134219296262849,0.0155429692544084,0.0151204328597329,5.906972693586362e-05
41,RandomForest,group_fairness,0.0365512681583294,0.0053718056024406,0.0732652858611385,0.13483716948939,0.0917775904201691,0.0014092153708242
42,MLP,Group Size Disparity,0.2949944965585943,0.1315508867305155,0.3626648163413459,4852818736893.741,0.6505530533843883,0.0570546510163137
43,MLP,Prevalence Disparity,0.074382962253358,0.0092875835190624,0.0963322949982129,143101481699.54996,0.9022197818897,0.0069740366709239
44,MLP,equal_opportunity,0.127062368876832,0.0321609205310836,0.1792303947951598,2932339043634.972,0.840533112338228,0.0187544102283063
45,MLP,disparate_parity,0.1227177780983703,0.0263662756743086,0.1623245774685984,2650164954462.0283,0.8194338601153867,0.0164043319021779
46,MLP,individual_fairness,0.3283928637763199,0.1533592550848394,0.3915882217145704,3.233934459495452,0.8196557125531638,0.0651668500763932
47,MLP,group_fairness,0.3450755083600666,0.1717120320313657,0.4143528386418731,4.0685069128367335,0.8205789421095717,0.0701826680363027
